text,ecosys
prodsecbug2462 remote code execution via file upload admin import feature remote code execution vulnerability exist magento one prior one thousand  nine hundred and forty-three eleven thousand  four hundred and forty-three magento twenty-two prior two thousand  two hundred and ten magento twenty-three prior two hundred and thirty-three 232p1 authenticate user admin privilege import feature execute arbitrary code via craft configuration archive file upload magento magento ,unknown
content type spoof vulnerability issue html file upload html extension content type list imagejpeg bypass validation check image also pass spoof check file name html contain actual html pass spoof check thoughtbot paperclip gem four hundred and twenty-two ruby consider contenttype value mediatype validation allow remote attackers upload html document conduct crosssite script xss attack via spoof value demonstrate imagejpeg thoughtbot paperclip ,gem
high severity vulnerability affect ikst ikst versions one hundred and twelve download resources http leave vulnerable mitm attack ikst_project ikst ,unknown
xss vulnerability doubleencoded entities crosssite script xss vulnerability php league commonmark library one hundred and eighty-three allow remote attackers insert unsafe link html use doubleencoded html entities properly escape render different vulnerability cve201820583 thephpleague commonmark ,unknown
khorosjx two hundred and thirty-one upgrade bleach package version three hundred and eleven mitigate xss security issue ,unknown
possible information leak session hijack vulnerability possible information leak session hijack vulnerability rack attackers may able find hijack sessions use time attack target session id session ids usually store index database use kind scheme speed lookups session id carefully measure amount time take look session attacker may able find valid session id hijack session session id may generate randomly way session index back store use secure comparison impact session id store cookie id use query back session storage engine storage mechanisms example database use sort index order speed lookup id carefully time request session lookup failures attacker may able perform time attack determine exist session id hijack session possible information leak session hijack vulnerability rack rubygem rack vulnerability patch versions one thousand  six hundred and twelve two hundred and eight attackers may able find hijack sessions use time attack target session id session ids usually store index database use kind scheme speed lookups session id carefully measure amount time take look session attacker may able find valid session id hijack session session id may generate randomly way session index back store use secure comparison rack_project rack ,gem
cleartext storage sensitive information jenkins neoload plugin store credentials unencrypted global configuration file job configxml file jenkins master could view users extend read permission access master file system jenkins neoload plugin two hundred and twenty-five earlier store credentials unencrypted global configuration file job configxml file jenkins master could view users extend read permission access master file system jenkins neoload ,unknown
morepath fourteen host header validation protect header poison attack ,unknown
moderate severity vulnerability affect editormd pandao editormd one hundred and fifty dom xss via input start substring mishandle construction element ipandao editormd ,unknown
exposure sensitive information unauthorized actor package check password user find make response delay shorter might allow remote attackers enumerate valid usernames via series login request vmware springsource spring security two hundred and eight 30x three hundred and eight 31x three hundred and thirteen check password user find make response delay shorter might allow remote attackers enumerate valid usernames via series login request vmware ,unknown
injection vulnerability enpeem allow execution arbitrary command optionsdir argument provide exec function without sanitization enpeem two hundred and twenty allow execution arbitrary command optionsdir argument provide exec function without sanitization enpeem_project enpeem ,unknown
djangojet one hundred and four fix security issue access model_lookup_view use without permissions ,unknown
http response split puma puma rubygem four hundred and thirty-two three thousand  one hundred and twenty-three application use puma allow untrusted input response header attacker use newline character ie cr lf r n end header inject malicious content additional headers entirely new response body vulnerability know http response split attack response split vector several attack crosssite script xss relate cve201916254 fix vulnerability webrick ruby web server fix versions four hundred and thirty-two three thousand  one hundred and twenty-three check headers line end reject headers character puma pumarubylang ruby ,gem
sql injection one order two group methods zend_db_select zend framework might allow remote attackers conduct sql injection attack via vectors relate use character pattern regular expression one order two group methods zend_db_select zend framework eleven thousand  two hundred and nineteen might allow remote attackers conduct sql injection attack via vectors relate use character pattern regular expression zend zend_framework ,unknown
high severity vulnerability affect arabicprawn arabic prawn one gem ruby allow remote attackers execute arbitrary command via metacharacters one downloaded_file two url variable dynamixsolutions arabic_prawn ,gem
moderate severity vulnerability affect simditor simditor two thousand  three hundred and twenty-one allow dom xss via onload attribute within malformed svg element mycolorway simditor ,unknown
cve201912245 incorrect access control vulnerability file upload protect folders silverstripe four hundred and thirty-three incorrect access control protect file upload via upload loadintofile attacker may able guess filename silverstripeassets via silverstripe silverstripe ,unknown
arbitrary file overwrite fstream vulnerable arbitrary file overwrite extract tarballs contain hardlink file already exist system file match hardlink overwrite system file content extract file fstreamdirwriter function vulnerable fstream one thousand and twelve vulnerable arbitrary file overwrite extract tarballs contain hardlink file already exist system file match hardlink overwrite system file content extract file fstreamdirwriter function vulnerable fstream_project fstream ,unknown
code injection dompdf contain remote code execution vulnerability dompdf sixty-two allow remote code execution relate issue cve20142383 dompdf_project dompdf ,unknown
django two thousand  one hundred and fifteen fix cve201919118 two thousand  one hundred and fourteen privilege escalation django admin django twenty-one two thousand  one hundred and fifteen twenty-two two hundred and twenty-eight allow unintended model edit django model admin display inline relate model user viewonly permissions parent model edit permissions inline model would present edit ui allow post request update inline model directly edit viewonly parent model possible parent model save method call trigger potential side effect cause pre postsave signal handlers invoke resolve django admin adjust require edit permissions parent model order inline model editable djangoproject django ,unknown
user supply input sufficiently validate encode issue discover librenms one thousand  five hundred and one script handle graph options sufficiently validate encode several field user supply input parameters filter useful prevent sql injection attack parameters unfiltered allow attacker inject rrdtool syntax newline character via htmlgraphphp script rrdtool syntax quite versatile attacker could leverage perform number attack include disclose directory structure filenames disclose file content denial service write arbitrary file note relative cve201910665 require authentication pathnames differ librenms librenms ,unknown
one hundred and ten upgrade request fix security vulnerability ,unknown
uncontrolled resource consumption setvalue vulnerable prototype pollution function mixindeep could trick add modify properties objectprototype use constructor prototype _proto_ payloads setvalue vulnerable prototype pollution versions lower three hundred and one function mixindeep could trick add modify properties objectprototype use constructor prototype _proto_ payloads setvalue_project setvalue ,unknown
code injection cdetailview widget yii php framework allow remote attackers execute arbitrary php script via vectors relate value property cdetailview widget yii php framework one thousand  one hundred and fourteen allow remote attackers execute arbitrary php script via vectors relate value property yiiframework yiiframework ,unknown
observable time discrepancy openmage lts ,unknown
versions nine hundred and seventy later vulnerable severity medium bug introduce nine hundred and seventy increase memory consume read network javascript use netsocket object directly stream attacker could use denial service send tiny chunk data short succession vulnerability restore revert prior behaviour nodejs versions nine hundred and seventy later 10x vulnerable severity medium bug introduce nine hundred and seventy increase memory consume read network javascript use netsocket object directly stream attacker could use denial service send tiny chunk data short succession vulnerability restore revert prior behaviour nodejs nodejs ,unknown
fat free crm gem vulnerable csrftype attack fat free crm contain flaw http request adminusers require multiple step explicit confirmation unique token perform certain sensitive action trick user follow specially craft link contextdependent attacker perform crosssite request forgery csrf xsrf attack cause victim create administrative users fat free crm one hundred and thirty-six allow remote attackers conduct crosssite request forgery csrf attack via request without authenticity_token demonstrate craft html page create new administrator account fatfreecrm fat_free_crm ,gem
directory traversal vulnerability webrick directory traversal vulnerability webrick ruby one hundred and eighty-four earlier one hundred and eighty-five 185p231 one hundred and eighty-six 186p230 one hundred and eighty-seven 187p22 one hundred and ninety one thousand  nine hundred and two use ntfs fat filesystems allow remote attackers read arbitrary cgi file via trail one plus two 2b encode plus three dot four 2e encode dot five twenty encode space character uri possibly relate webrick httpservlet filehandler webrick httpservernew functionality documentroot option directory traversal vulnerability webrick ruby one hundred and eighty-four earlier one hundred and eighty-five 185p231 one hundred and eighty-six 186p230 one hundred and eighty-seven 187p22 one hundred and ninety one thousand  nine hundred and two use ntfs fat filesystems allow remote attackers read arbitrary cgi file via trail one plus two 2b encode plus three dot four 2e encode dot five twenty encode space character uri possibly relate webrick httpservlet filehandler webrick httpservernew functionality documentroot option rubylang ruby ,gem
direct manipulation xss ruby rail contain flaw allow remote crosssite script xss attack flaw exist application validate direct manipulations safebuffer object via methods may allow user create specially craft request would execute arbitrary script code user browser within trust relationship browser server crosssite script xss vulnerability ruby rail 30x three thousand and twelve 31x three hundred and fourteen 32x three hundred and twenty-two allow remote attackers inject arbitrary web script html via vectors involve safebuffer object manipulate certain methods rubyonrails railsrubyonrails ruby_on_rails ,gem
path traversal serve46 vulnerable directory traversal issue give attacker access filesystem place url serve46 static file server serve46 vulnerable directory traversal issue give attacker access filesystem place url serve46_project serve46 ,unknown
discogsclient two hundred and twenty-two update dependencies resolve security vulnerabilities ,unknown
inadequate encryption strength pycrypto generate weak elgamal key parameters allow attackers obtain sensitive information read ciphertext data pycrypto two hundred and sixty-one generate weak elgamal key parameters allow attackers obtain sensitive information read ciphertext data ie semantic security face ciphertextonly attack decisional diffiehellman ddh assumption hold pycrypto elgamal implementation dlitz pycrypto ,unknown
lurklite forty-nine include change allow discord administrators specify user ids well improve security username change ,unknown
remote attackers obtain sensitive informations package contain flaw trigger attacker send direct request xml data may allow remote attacker gain access potentially sensitive information fat free crm one hundred and twenty-one restrict xml serialization allow remote attackers obtain sensitive information via direct request demonstrate request users1xml different vulnerability cve20137224 fatfreecrm fat_free_crm ,gem
vnccollabtheme one hundred and fifty-two undisclosed vulnerability vnc zimlet ,unknown
authorization header sanitize error object auth0 ,unknown
incorrect default permissions python keyring lib create keyring file worldreadable permissions python keyring lib ten create keyring file worldreadable permissions python keyring ,unknown
unspecified flow unspecified impact web console gem contain unspecified flaw impact security issue unknown ,gem
download resources http kindlegen simple nodejs wrapper official kindlegen program kindlegen versions one hundred and ten download binary resources http leave vulnerable mitm attack may possible remote code execution rce swap request binary attacker control binary attacker network position user remote server ,unknown
deis one hundred and thirty-one sslv3 enable know security issue see cve20143566 ,unknown
improper validation integrity check value nimbus josejwt proceed improperly detection invalid hmac authenticate aescbc decryption allow attackers conduct pad oracle attack nimbus josejwt four hundred and thirty-nine proceed improperly detection invalid hmac authenticate aescbc decryption allow attackers conduct pad oracle attack connect2id nimbus_josejwt ,unknown
uncontrolled resource consumption deeply vulnerable prototype pollution function assigndeep could trick add modify properties objectprototype use _proto_ payload deeply vulnerable prototype pollution versions three hundred and ten function assigndeep could trick add modify properties objectprototype use use _proto_ payload deeply_project deeply ,unknown
critical severity vulnerability affect bassmaster eval injection vulnerability internalsbatch function libbatchjs bassmaster plugin one hundred and fifty-two hapi server framework nodejs allow remote attackers execute arbitrary javascript code via unspecified vectors bassmaster_project bassmaster ,unknown
improper verification cryptographic signature jsonjwt vulnerable improper verification cryptographic signatures decrypt aesgcm encrypt json web tokens result attacker able forge authentication tag nov jsonjwt version fifty one hundred and ninety-four contain cwe347 improper verification cryptographic signature vulnerability decryption aesgcm encrypt json web tokens result attacker forge authentication tag attack appear exploitable via network connectivity vulnerability appear fix one hundred and ninety-four later jsonjwt_project jsonjwt ,gem
charmhelpers one thousand  nine hundred and thirteen update keystone expectations meet security guide two hundred and ninety-nine ,unknown
please upgrade one hundred and eighty immediately versions one hundred and sixty-six one hundred and seventy-one vulnerable code execution run vulnerable version malicious website owner could craft page execute arbitrary python code machine run script occur website user attempt scrape specifically prepare page exploit vulnerable versions cfscrape ,unknown
improper input validation fastjson allow remote attackers execute arbitrary code via craft json request demonstrate craft rmi uri datasourcename field http post data pippo json uri mishandle parseobject fastjson one thousand  two hundred and twenty-five use fastjsonengine pippo one thousand  one hundred and ten products allow remote attackers execute arbitrary code via craft json request demonstrate craft rmi uri datasourcename field http post data pippo json uri mishandle alibaba fastjsonpippo pippo ,unknown
critical severity vulnerability affect smart_proxy_dynflow authentication bypass flaw find smart_proxy_dynflow component use foreman malicious attacker use flaw remotely execute arbitrary command machine manage vulnerable foreman instance highly privilege context theforeman foreman ,gem
django two thousand  one hundred and ten fix security issue two hundred and nineteen cve20209402 potential sql injection via tolerance parameter gi function aggregate oracle django one hundred and eleven eleven thousand  one hundred and twenty-nine twenty-two two thousand  two hundred and eleven thirty three hundred and four allow sql injection untrusted data use tolerance parameter gi function aggregate oracle pass suitably craft tolerance gi function aggregate oracle possible break escape inject malicious sql djangoproject django ,unknown
crosssite script form page type make available wagtail editors app page template build use django standard form render helpers formas_p html tag use within form field help text render unescaped page allow html within help text intentional design decision django however matter policy wagtail allow editors insert arbitrary html default could potentially use carry crosssite script attack include privilege escalation torchbox wagtail ,unknown
xxe vulnerability potential xml external entity process vulnerability discover mediatypeconverter ,unknown
python keyring lib ten create keyring file worldreadable permissions see cve20125577 python keyring lib ten create keyring file worldreadable permissions python keyring ,unknown
moderate severity vulnerability affect samlr zendesk samlr two hundred and sixty-two allow xml nod comment attack name_id node user examplecom follow attacker domain name zendesk samlr ,gem
improper restriction xml external entity reference xml external entity xxe vulnerability sqlxmlutil code apache derby java security manager place allow contextdependent attackers read arbitrary file denial service resource consumption via vectors involve xmlvti xml datatype xml external entity xxe vulnerability sqlxmlutil code apache derby one hundred and one thousand  two hundred and eleven java security manager place allow contextdependent attackers read arbitrary file denial service resource consumption via vectors involve xmlvti xml datatype apache derby ,unknown
escape sequence injection vulnerability basic authentication webrick escape sequence injection vulnerability basic authentication webrick bundle ruby use basic authentication webrick clients pass arbitrary string user name webrick output pass user name intact log attacker inject malicious escape sequence log dangerous control character may execute victim terminal emulator vulnerability similar vulnerability already fix fix basic authentication users run affect release upgrade immediately basic authentication code webrick library ruby two hundred and twenty-eight 23x two hundred and thirty-five 24x two hundred and forty-one allow remote attackers inject terminal emulator escape sequence log possibly execute arbitrary command via craft user name rubylang ruby ,gem
denial service due reference expansion versions earlier forty ,unknown
directory traversal caolilinode vulnerable directory traversal issue give attacker access filesystem place urln ,unknown
unsafe use yamlload tastypie use yamlload method unsafe certain circumstances could use allow remote execution arbitrary code servers without yaml module instal affect from_yaml method serializerspy django tastypie nine hundred and ten properly deserialize yaml data allow remote attackers execute arbitrary python code via vectors relate yamlload method djangoproject tastypie ,unknown
low severity vulnerability affect ecdsa errorhandling flaw find pythonecdsa version one hundred and thirty-three signature decode malformed der signatures could raise unexpected exceptions exceptions could lead denial service pythonecdsa ,unknown
insufficient session expiration naclcookiestorage lack proper session expiration user obtain legitimate session replay attack recreate cookie value original thus defeat purpose cookie expiry aiolibs aiohttpsession version two hundred and sixty earlier contain otherunknown vulnerability naclcookiestorage result nonexpiring sessions infinite lifespan attack appear exploitable via recreation cookie postexpiry value aiohttpsession ,unknown
htmljanitor bypass sanitization use dom clobber arbitrary html pass sanitization process unexpected dangerous xss case usercontrolled input pass clean function htmljanitor node module suffer external control critical state data vulnerability via usercontrol _sanitized variable cause sanitization bypass theguardian htmljanitor ,unknown
crosssite script breadcrumbs contribute module padrino framework allow xss via caption breadcrumbs contribute module twenty padrino framework allow xss via caption padrinorb padrinocontrib ,gem
information exposure exposure sensitive information vulnerability exist jenkins allow attackers capture credentials know credentials id store jenkins exposure sensitive information vulnerability exist jenkins maven artifact choicelistprovider nexus plugin one hundred and thirty-one earlier allow attackers capture credentials know credentials id store jenkins jenkins nexus ,unknown
administrative interface django one hundred and thirteen 12x one hundred and twenty-four 13x thirteen beta one properly restrict use query string perform certain object filter allow remote authenticate users obtain sensitive information via series request contain regular expressions demonstrate parameter administrative interface django one hundred and thirteen 12x one hundred and twenty-four 13x thirteen beta one properly restrict use query string perform certain object filter allow remote authenticate users obtain sensitive information via series request contain regular expressions demonstrate parameter djangoproject django ,unknown
sql injection centreon sql injection vulnerabilities centreon one thousand  nine hundred and four allow attack via svc_id parameter centreon centreon ,unknown
