text,ecosys
safehtml annotation hibernatevalidator properly guard xss attack vulnerability find hibernatevalidator safehtml validator annotation fail properly sanitize payloads consist potentially malicious code html comment instructions vulnerability result xss attack hibernate single_signon ,unknown
moderate severity vulnerability affect jquery jquery 300rc1 vulnerable denial service do due remove logic lowercased attribute name attribute getter use mixedcased name boolean attribute go infinite recursion exceed stack call limit jquery jquery ,npm
path traversal gaoxuyan vulnerable directory traversal issue give attacker access filesystem place url gaoxuyan vulnerable directory traversal issue give attacker access filesystem place url gaoxuyan_project gaoxuyan ,npm
crosssite script autocompletion suggestions text field escape result persist crosssite script vulnerability source suggestions allow specify text include html metacharacters like lessthan greaterthan character jenkins two hundred and eighty-eight earlier two thousand  seven hundred and thirty-two earlier autocompletion suggestions text field escape result persist crosssite script vulnerability source suggestions allow specify text include html metacharacters like lessthan greaterthan character jenkins jenkins ,unknown
djangomailauth thirteen fix session key security issue ,unknown
improper authentication login command available remotingbased cli store encrypt user name successfully authenticate user cache file use authenticate command users sufficient permission create secrets jenkins download encrypt value able impersonate jenkins user instance jenkins versions two hundred and fifty-six earlier well two thousand  four hundred and sixty-one lts earlier vulnerable login command allow impersonate jenkins user login command available remotingbased cli store encrypt user name successfully authenticate user cache file use authenticate command users sufficient permission create secrets jenkins download encrypt value eg jobconfigure permission able impersonate jenkins user instance jenkins jenkins ,unknown
crosssite script xss reflect reflect xss possible variable pass via get parameter use template ,npm
regular expression denial service npm package npm module prior one hundred and four allow denial service do via regex backtrack extension parser may take quadratic time parse header contain unclosed string parameter value whose content repeat twobyte sequence backslash character could abuse attacker conduct regex denial service redo singlethreaded server provide malicious payload header ,npm
invalid curve attack nodejose vulnerable invalid curve attack allow attacker recover private secret key jwe key agreement elliptic curve diffiehellman ephemeral static ecdhes use ,npm
install command process list local plaintext credential disclosure package contain flaw due program list credential information plaintext installcommand process list may allow local attacker gain access credential information ,unknown
critical severity vulnerability affect safeeval safeeval module describe safer version eval access object constructors unsanitized user input access entire standard library effectively break sandbox safeeval_project safeeval ,npm
header injection via multilines input builtin validators seriously prohibit newline character due usage instead z regular expressions use value newlines http response email headers suffer header injection attack django one thousand  four hundred and twenty-one 15x 16x 17x one hundred and seventy-nine 18x one hundred and eighty-three use incorrect regular expression allow remote attackers inject arbitrary headers conduct http response split attack via newline character one email message emailvalidator two url urlvalidator unspecified vectors three four validate_slug validator djangoproject django ,unknown
malicious package typosquatting malicious package try steal ssh gpg key ,unknown
crosssite script store crosssite script xss vulnerability exist magento authenticate user inject arbitrary javascript code add new customer attribute store store crosssite script xss vulnerability exist magento twenty-two prior two thousand  two hundred and ten magento twenty-three prior two hundred and thirty-three 232p1 authenticate user inject arbitrary javascript code add new customer attribute store magento magento ,unknown
moderate severity vulnerability affect sequelize sequelize objectrelational map middleman convert things postgres mysql mariadb sqlite microsoft sql server usable data nodejs version 170alpha3 sequelize default sqlite use mysql backslash escape even though sqlite use postgres escape sequelizejs sequelize ,npm
critical severity vulnerability affect growl growl add growl notification support nodejs growl one thousand  one hundred and two properly sanitize input pass exec allow arbitrary command execution growl_project growl ,npm
insufficient input validation allow code injection remote execution ,unknown
crosssite script dijit crosssite script vulnerability editor linkdialog plugin dijit versions eleven thousand  one hundred and eleven greater equal one thousand  one hundred and twenty less one thousand  one hundred and twenty-nine greater equal one thousand  one hundred and thirty less one thousand  one hundred and thirty-eight greater equal one thousand  one hundred and forty less one thousand  one hundred and forty-seven greater equal one thousand  one hundred and fifty less one thousand  one hundred and fifty-four greater equal one thousand  one hundred and sixty less one thousand  one hundred and sixty-three crosssite script vulnerability editor linkdialog plugin fix eleven thousand  one hundred and eleven one thousand  one hundred and twenty-nine one thousand  one hundred and thirty-eight one thousand  one hundred and forty-seven one thousand  one hundred and fifty-four one thousand  one hundred and sixty-three openjsf dijit ,npm
gdal three hundred and ten include multiple securityrelated fix detail give ,unknown
incorrect default permissions miss permission check jenkins deploy weblogic plugin allow attackers overallread permission connect attackerspecified url use attackerspecified credentials determine whether file directory attackerspecified path exist jenkins master file system miss permission check jenkins deploy weblogic plugin allow attackers overallread permission connect attackerspecified url use attackerspecified credentials determine whether file directory attackerspecified path exist jenkins master file system jenkins deploy_weblogic ,unknown
gfsh authorization vulnerability authenticate user connect geode cluster use gfsh tool http user able obtain status information control cluster members even without cluster manage privilege apache geode cluster v130 operate secure mode authenticate user connect geode cluster use gfsh tool http user able obtain status information control cluster members even without cluster manage privilege apache geode ,unknown
